,0,1,2,3,4,5,6
0,28000,18000,20000,20000,14000,20000,20000
1,28000,17000,27000,20000,8000,20000,20000
2,28000,17000,26000,18000,11000,20000,20000
3,28000,17000,26000,17000,12000,20000,20000
4,28000,17000,26000,17000,11000,21000,20000
5,32500,17000,26000,11000,15500,20000,18000
6,30500,17000,18000,11000,26500,20000,17000
7,29500,15000,18000,16000,24500,20000,17000
8,29500,14000,12000,16000,31500,20000,17000
9,29500,14000,11000,14000,34500,20000,17000
10,53500,14000,11000,8000,16500,20000,17000
11,53500,14000,11000,8000,18500,18000,17000
12,41500,14000,11000,8000,6500,14000,45000
13,85875,14000,11000,8000,0,14000,7125
14,87875,12000,11000,8000,0,14000,7125
15,85875,11000,14000,8000,0,14000,7125
16,88875,11000,13000,6000,0,14000,7125
17,88875,11000,13000,5000,0,15000,7125
18,88875,11000,13000,5000,0,15000,7125
19,88875,11000,13000,5000,0,15000,7125
20,90875,9000,13000,5000,0,15000,7125
21,90875,8000,14000,5000,0,15000,7125
22,90875,8000,13000,6000,0,15000,7125
23,106875,8000,13000,5000,0,0,7125
24,108875,8000,13000,5000,0,0,5125
25,110875,6000,13000,5000,0,0,5125
26,110875,5000,14000,5000,0,0,5125
27,110875,5000,13000,6000,0,0,5125
28,107000,20000,13000,0,0,0,0
29,107000,19000,14000,0,0,0,0
