,0,1,2,3,4,5,6
0,19000,18000,20000,20000,23000,20000,20000
1,28000,17000,18000,20000,17000,20000,20000
2,26000,17000,17000,18000,17000,20000,25000
3,26000,35000,17000,17000,0,20000,25000
4,26000,35000,17000,17000,0,0,45000
5,25000,33000,20000,17000,0,0,45000
6,28000,32000,18000,17000,0,0,45000
7,31000,32000,17000,15000,0,0,45000
8,31000,32000,17000,14000,0,0,46000
9,40000,32000,9000,14000,0,0,45000
10,39000,33000,9000,14000,0,0,45000
11,42000,32000,7000,14000,0,0,45000
12,42000,32000,6000,15000,0,0,45000
13,42000,32000,6000,14000,0,0,46000
14,44000,32000,6000,14000,0,0,44000
15,43000,33000,6000,14000,0,0,44000
16,43000,32000,7000,14000,0,0,44000
17,43000,32000,6000,15000,0,0,44000
18,43000,32000,6000,14000,0,0,45000
19,41000,32000,6000,14000,0,0,47000
20,43000,30000,6000,14000,0,0,47000
21,43000,36000,0,14000,0,0,47000
22,43000,36000,0,13000,0,0,48000
23,38500,36000,0,13000,0,0,52500
24,37500,37000,0,13000,0,0,52500
25,37500,45000,0,5000,0,0,52500
26,37500,45000,0,4000,0,0,53500
27,35500,45000,0,4000,0,0,55500
28,33500,47000,0,4000,0,0,55500
29,1500,81000,0,2000,0,0,55500
