,0,1,2,3,4,5,6
0,19000,18000,12000,20000,0,51000,20000
1,19000,17000,13000,20000,0,51000,20000
2,26000,17000,12000,14000,0,51000,20000
3,26000,17000,12000,13000,0,52000,20000
4,26000,17000,12000,13000,0,32000,40000
5,30000,17000,12000,13000,0,30000,38000
6,29000,15000,12000,13000,0,30000,41000
7,29000,14000,13000,13000,0,30000,41000
8,29000,14000,12000,14000,0,30000,41000
9,29000,14000,12000,13000,0,31000,41000
10,29000,14000,12000,13000,0,29000,43000
11,33000,14000,12000,13000,0,29000,39000
12,35000,12000,12000,13000,0,29000,39000
13,29000,11000,19000,13000,0,29000,39000
14,39000,11000,11000,11000,0,29000,39000
15,39000,11000,3000,10000,0,38000,39000
16,39000,11000,3000,10000,0,0,77000
17,37000,13000,3000,10000,0,0,77000
18,37000,12000,4000,10000,0,0,77000
19,25000,27000,3000,8000,0,0,77000
20,25000,27000,3000,7000,0,0,78000
21,34500,27000,3000,7000,0,0,68500
22,33500,28000,3000,7000,0,0,68500
23,33500,30000,1000,7000,0,0,68500
24,36500,30000,0,5000,0,0,68500
25,34500,30000,0,5000,0,0,70500
26,32500,32000,0,5000,0,0,70500
27,27500,31000,0,11000,0,0,70500
28,27500,31000,0,10000,0,0,71500
29,0,31000,0,10000,0,0,99000
