,0,1,2,3,4,5,6
0,12000,18000,20000,20000,30000,20000,20000
1,12000,17000,23000,20000,28000,20000,20000
2,27000,17000,22000,18000,16000,20000,20000
3,27000,17000,22000,17000,17000,20000,20000
4,27000,15000,22000,17000,21000,18000,20000
5,27000,15000,22000,17000,3156,37844,18000
6,32156,15000,22000,17000,0,37844,16000
7,34156,13000,22000,17000,0,37844,16000
8,29156,12000,28000,17000,0,37844,16000
9,29156,15000,27000,15000,0,37844,16000
10,29156,15000,27000,14000,0,38844,16000
11,29156,15000,27000,12000,0,42844,14000
12,33656,15000,27000,12000,0,42844,9500
13,32656,7000,36000,12000,0,42844,9500
14,30656,6000,39000,12000,0,42844,9500
15,30656,6000,38000,13000,0,42844,9500
16,30656,6000,38000,11000,0,44844,9500
17,30656,6000,38000,11000,0,35344,19000
18,41656,6000,38000,11000,0,35344,8000
19,40656,9000,38000,9000,0,35344,8000
20,40656,8000,39000,9000,0,35344,8000
21,43656,8000,38000,7000,0,35344,8000
22,43656,8000,38000,6000,0,36344,8000
23,37656,8000,53000,6000,0,35344,0
24,39656,6000,53000,6000,0,35344,0
25,39656,5000,54000,6000,0,35344,0
26,39656,5000,53000,7000,0,35344,0
27,39656,5000,53000,6000,0,36344,0
28,37656,5000,53000,6000,0,38344,0
29,35656,7000,53000,6000,0,38344,0
