,0,1,2,3,4,5,6
0,18000,22000,20000,20000,20000,20000,20000
1,18000,21000,23000,20000,18000,20000,20000
2,18000,21000,22000,18000,21000,20000,20000
3,18000,21000,22000,20000,19000,20000,20000
4,18000,21000,22000,20000,28,38972,20000
5,18000,21000,22000,20000,84,36972,21944
6,16000,21000,22000,20000,84,36972,23944
7,17042,19000,22000,20000,0,36972,24986
8,17042,18000,23000,20000,0,36972,24986
9,17042,18000,25000,18000,0,36972,24986
10,17042,37000,25000,17000,0,18972,24986
11,0,37000,25000,17000,0,38014,22986
