,0,1,2,3,4,5,6
0,19000,18000,20000,20000,25000,20000,18000
1,19000,17000,39000,20000,7000,20000,18000
2,19000,17000,38000,23000,5000,20000,18000
3,19000,17000,38000,22000,6000,20000,18000
4,19000,17000,38000,22000,8000,18000,18000
5,23500,17000,38000,22000,0,17000,22500
6,25500,17000,38000,22000,0,17000,20500
7,27500,15000,38000,22000,0,17000,20500
8,27500,14000,39000,22000,0,17000,20500
9,30500,14000,38000,20000,0,17000,20500
10,30500,14000,38000,19000,0,18000,20500
11,30500,14000,38000,19000,0,0,38500
12,29500,15000,38000,19000,0,0,38500
13,29500,14000,41000,17000,0,0,38500
14,29500,14000,40000,18000,0,0,38500
15,60000,14000,40000,17000,0,0,9000
16,51598,14000,40000,17000,0,0,17402
17,61598,12000,32000,17000,0,0,17402
18,61598,11000,33000,17000,0,0,17402
19,61598,11000,32000,18000,0,0,17402
20,61598,11000,32000,17000,0,0,18402
21,59598,15000,32000,17000,0,0,16402
22,58598,0,32000,17000,0,0,32402
23,61598,0,31000,15000,0,0,32402
24,61598,0,31000,17000,0,0,30402
25,57098,0,31000,17000,0,0,34902
26,59098,0,29000,17000,0,0,34902
27,24196,0,28000,15000,0,0,72804
28,24196,0,28000,14000,0,0,73804
29,26196,0,28000,14000,0,0,71804
