,0,1,2,3,4,5,6
0,22000,18000,20000,20000,20000,20000,20000
1,22000,17000,18000,20000,23000,20000,20000
2,22000,17000,22000,18000,21000,20000,20000
3,22000,17000,22000,17000,22000,20000,20000
4,22000,17000,22000,17000,2000,40000,20000
5,22000,17000,22000,23000,0,38000,18000
6,28000,17000,22000,23000,0,38000,12000
7,30000,15000,22000,23000,0,38000,12000
8,30000,14000,22500,23500,0,38000,12000
9,30000,14000,21500,24500,0,38000,12000
10,30000,14000,21500,23500,0,39000,12000
11,30000,14000,21500,23500,0,37000,14000
12,28000,14000,24500,23500,0,37000,13000
13,30000,12000,24500,23500,0,37000,13000
14,30000,11000,25500,23500,0,37000,13000
15,33000,11000,24500,21500,0,37000,13000
16,33000,11000,24500,19500,0,39000,13000
17,33000,11000,24500,19500,0,52000,0
18,32000,9000,27500,19500,0,52000,0
19,35000,8000,25500,19500,0,52000,0
20,27000,8000,35500,17500,0,52000,0
21,19000,25000,35500,16500,0,44000,0
22,17000,25000,35500,16500,0,46000,0
23,16000,26000,35500,16500,0,46000,0
24,16000,25000,36500,16500,0,46000,0
25,16000,25000,35500,17500,0,46000,0
26,16000,25000,35500,16500,0,47000,0
27,14000,25000,38500,16500,0,46000,0
28,16000,23000,38500,16500,0,46000,0
29,16000,25000,36500,16500,0,46000,0
