,0,1,2,3,4,5,6
0,19000,23000,20000,20000,18000,20000,20000
1,19000,22000,18000,20000,21000,20000,20000
2,19000,22000,17000,18000,24000,20000,20000
3,31000,22000,17000,17000,13000,20000,20000
4,31000,22000,17000,17000,0,33000,20000
5,29000,22000,17000,17000,0,33000,22000
6,35000,20000,17000,17000,0,33000,18000
7,33000,19000,20000,17000,0,33000,18000
8,33000,19000,22000,15000,0,33000,18000
9,33000,19000,22000,13000,0,35000,18000
10,33000,19000,31000,13000,0,34000,10000
11,28000,19000,31000,13000,0,34000,15000
12,26000,17000,31000,13000,0,38000,15000
13,29000,16000,29000,13000,0,38000,15000
14,29000,16000,28000,14000,0,38000,15000
15,29000,16000,28000,13000,0,39000,15000
16,29000,16000,20000,13000,0,38000,24000
17,8800,16000,20000,13000,0,38000,44200
18,10800,14000,20000,13000,0,38000,44200
19,8800,13000,23000,13000,0,38000,44200
20,8800,13000,22000,14000,0,38000,44200
21,0,13000,2000,0,0,80800,44200
